,Unnamed: 1_level_0,Standard,Standard,SuccessRate
,Player,PK,PKatt,
0,Aaron Connolly,0,0,
1,Aaron Cresswell,0,0,
2,Aaron Hickey,0,0,
3,Aaron Hunt,1,2,0.5
4,Aaron Lennon,0,0,
5,Aaron Leya Iseka,2,3,0.6666666666666666
6,Aaron Mooy,2,2,1.0
7,Aaron Ramsdale,0,0,
8,Aaron Ramsey,0,0,
9,Aaron Rowe,0,0,
10,Aaron Seydel,0,0,
11,Aaron Wan-Bissaka,0,0,
12,Aaron Zehnter,0,0,
13,Aarón Escandell,0,0,
14,Aarón Martín,0,1,0.0
15,Abass Issah,0,0,
16,Abdallah N'dour,0,0,
17,Abdallah Sima,0,0,
18,Abdallahi Mahmoud,0,0,
19,Abde Ezzalzouli,0,0,
20,Abdel Jalil Medioub,0,0,
21,Abdelhamid El Kaoutari,0,0,
22,Abdelhamid Sabiri,1,2,0.5
23,Abdou Diallo,0,0,
24,Abdou Harroui,0,0,
25,Abdou Lahat Diakhate,0,0,
26,Abdou Traoré,0,0,
27,Abdoul Camara,0,0,
28,Abdoul Kader Bamba,0,1,0.0
29,Abdoulay Diaby,0,0,
30,Abdoulay Konko,0,0,
31,Abdoulaye Ba,0,0,
32,Abdoulaye Bakayoko,0,0,
33,Abdoulaye Bamba,0,0,
34,Abdoulaye Dabo,0,0,
35,Abdoulaye Diallo,0,0,
36,Abdoulaye Doucouré,0,0,
37,Abdoulaye Keita,0,0,
38,Abdoulaye Sidibé,0,0,
39,Abdoulaye Sylla,0,0,
40,Abdoulaye Touré,1,1,1.0
41,Abdourahmane Barry,0,0,
42,Abdu Conté,0,0,
43,Abdul Majeed Waris,3,5,0.6
44,Abdul Mumin,0,0,
45,Abdón Prats,0,0,
46,Abel Hernández,0,0,
47,Abel Ruiz,0,0,
48,Ablie Jallow,0,0,
49,Abner,0,0,
50,Abou Diaby,0,0,
51,Aboubakar Kamara,1,2,0.5
52,Aboubakar Sidibé,0,0,
53,Accursio Bentivegna,0,0,
54,Achraf Dari,0,0,
55,Achraf Hakimi,0,0,
56,Achraf Lazaar,0,0,
57,Adalberto Peñaranda,0,0,
58,Adam Armstrong,0,0,
59,Adam Bodzek,0,0,
60,Adam Buksa,0,0,
61,Adam Clayton,0,0,
62,Adam Federici,0,0,
63,Adam Forshaw,0,0,
64,Adam Hložek,0,0,
65,Adam Idah,0,0,
66,Adam Lallana,0,0,
67,Adam Marušić,0,0,
68,Adam Masina,0,0,
69,Adam Obert,0,0,
70,Adam Ounas,1,1,1.0
71,Adam Smith,0,0,
72,Adam Webster,0,0,
73,Adam Zreľák,0,0,
74,Adama Diakhaby,1,1,1.0
75,Adama Diomande,0,0,
76,Adama Mbengue,0,0,
77,Adama Niane,2,2,1.0
78,Adama Soumaoro,0,0,
79,Adama Traoré,0,0,
80,Aday,1,2,0.5
81,Adel Taarabt,0,0,
82,Adem Ljajić,1,2,0.5
83,Ademola Lookman,3,4,0.75
84,Aderlan Santos,0,0,
85,Adil Aouchiche,0,0,
86,Adil Rami,0,0,
87,Adlène Guedioura,0,0,
88,Admir Mehmedi,0,0,
89,Adnan Januzaj,5,5,1.0
90,Ado Onaiwu,0,0,
91,Adolfo Gaich,0,0,
92,Adri Embarba,4,4,1.0
93,Adrian Fein,0,0,
94,Adrian Grbić,3,3,1.0
95,Adrian Mariappa,0,0,
96,Adrian Stoian,0,0,
97,Adrian Šemper,0,0,
98,Adrien Hunou,0,0,
99,Adrien Louveau,0,0,
100,Adrien Rabiot,0,0,
101,Adrien Silva,0,0,
102,Adrien Tameze,0,0,
103,Adrien Thomasson,0,0,
104,Adrien Truffert,0,0,
105,Adrià Pedrosa,0,0,
106,Adrián,0,0,
107,Adrián Butzke,0,0,
108,Adrián Diéguez,0,0,
109,Adrián González,6,6,1.0
110,Adrián López,0,0,
111,Adrián Marín,0,0,
112,Adrián Ortolá,0,0,
113,Adrián Ramos,0,0,
114,Adrián Sahibeddine,0,0,
115,Adu Ares,0,0,
116,Afimico Pululu,0,0,
117,Afonso Figueiredo,0,0,
118,Afriyie Acquah,0,0,
119,Ager Aketxe,0,0,
120,Agustín Marchesín,0,0,
121,Agustín Rogel,0,0,
122,Agustín Álvarez Martínez,0,0,
123,Ahmad Benali,0,0,
124,Ahmad Ngouyamsa,0,0,
125,Ahmed Elmohamady,0,0,
126,Ahmed Hegazi,0,0,
127,Ahmed Kutucu,0,0,
128,Ahmed Musa,0,0,
129,Ahmet Gürleyen,0,0,
130,Aiden O'Neill,0,0,
131,Aihen Muñoz,0,0,
132,Ailton,0,0,
133,Aimar Oroz,1,1,1.0
134,Aimar Sher,0,0,
135,Aimen Moueffek,0,0,
136,Ainsley Maitland-Niles,0,0,
137,Aitor Buñuel,0,0,
138,Aitor Cantalapiedra,0,0,
139,Aitor Fernández,0,0,
140,Aitor Paredes,0,0,
141,Aitor Ruibal,0,0,
142,Ajdin Hrustic,0,0,
143,Akaki Gogia,0,0,
144,Akim Zedadka,0,0,
145,Akram Afif,0,0,
146,Alaeddine Yahia,0,0,
147,Alaixys Romao,0,0,
148,Alan Do Marcolino,0,0,
149,Alan Empereur,0,0,
150,Alan Virginius,0,0,
151,Alassane Pléa,6,9,0.6666666666666666
152,Alassane Sidibe,0,0,
153,Alban Lafont,0,0,
154,Albano Bizzarri,0,0,
155,Albert Adomah,0,0,
156,Albert Guðmundsson,0,0,
157,Albert Lottin,0,0,
158,Albert Sambi Lokonga,0,0,
159,Alberth Elis,0,1,0.0
160,Alberto Aquilani,0,0,
161,Alberto Basso,0,0,
162,Alberto Brignoli,0,0,
163,Alberto Bueno,0,0,
164,Alberto Cerri,0,0,
165,Alberto Cifuentes,0,0,
166,Alberto Del Moral,0,0,
167,Alberto García,0,0,
168,Alberto Gilardino,0,0,
169,Alberto Grassi,0,0,
170,Alberto Lora,0,0,
171,Alberto López,0,0,
172,Alberto Martín,0,0,
173,Alberto Marí,0,0,
174,Alberto Moreno,0,0,
175,Alberto Paleari,0,0,
176,Alberto Paloschi,0,0,
177,Alberto Pelagotti,0,0,
178,Alberto Perea,0,0,
179,Alberto Redondo,0,0,
180,Alberto Soro,0,0,
181,Alberto de la Bella,0,0,
182,Albin Ekdal,0,0,
183,Aldo Kalulu,0,0,
184,Aleandro Rosi,0,0,
185,Aleix Febas,0,0,
186,Aleix García,0,0,
187,Aleix Garrido,0,0,
188,Aleix Vidal,0,0,
189,Alejandro Alfaro,0,0,
190,Alejandro Arribas,0,0,
191,Alejandro Asensio,0,0,
192,Alejandro Balde,0,0,
193,Alejandro Blanco,0,0,
194,Alejandro Blesa,0,0,
195,Alejandro Garnacho,0,0,
196,Alejandro Gutiérrez Mozo,0,0,
197,Alejandro Pozo Pozo,0,0,
198,Alejandro Primo,0,0,
199,Alejandro Revuelta Montero,0,0,
200,Alejandro Rodríguez,0,0,
201,Aleksa Terzić,0,0,
202,Aleksandar Dragović,0,0,
203,Aleksandar Ignjovski,0,0,
204,Aleksandar Jovanović,0,0,
205,Aleksandar Katai,0,0,
206,Aleksandar Kolarov,3,3,1.0
207,Aleksandar Mitrović,6,11,0.5454545454545454
208,Aleksandar Pantić,0,0,
209,Aleksandar Pešić,0,0,
210,Aleksandar Radovanović,0,0,
211,Aleksandar Sedlar,0,0,
212,Aleksandar Tonev,0,0,
213,Aleksandar Trajkovski,0,0,
214,Aleksander Buksa,0,0,
215,Aleksandr Golovin,0,0,
216,Aleksandr Kokorin,0,0,
217,Aleksei Miranchuk,0,0,
218,Alen Halilović,0,0,
